
Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
315, 0, 11150938, 1034508, 3065997
316, 0, 1088417, 1034678, 3065997
316, 1522553051, 803793968, 1034678, 3065997
317, 0, 1124130, 1034960, 3065997
318, 0, 745473, 1034050, 3065997
318, 0, 11149523, 1034050, 3065997
319, 0, 1086584, 1034214, 3065997
319, 1522553051, 844193627, 1034214, 3065997
320, 0, 1033288, 1034212, 3065997
321, 0, 756295, 1033347, 3065997
321, 0, 11141179, 1033347, 3065997
322, 0, 1080064, 1033492, 3065997
322, 1522553051, 884621567, 1033492, 3065997
323, 0, 1110986, 1033731, 3065997
324, 0, 753526, 1032867, 3065997
324, 0, 11137003, 1032867, 3065997
325, 0, 1076512, 1033001, 3065997
325, 1522553051, 925002528, 1033001, 3065997
326, 0, 1047487, 1033045, 3065997
327, 0, 739194, 1032147, 3065997
327, 0, 11146472, 1032147, 3065997
328, 0, 1084212, 1032305, 3065997
328, 1522553051, 965439895, 1032305, 3065997
329, 0, 1053571, 1032369, 3065997
330, 0, 752621, 1031522, 3065997
330, 1, 1158639797, 1031522, 3065997
331, 0, 1094670, 1031712, 3065997
331, 1522553052, 5844034, 1031712, 3065997
332, 0, 1035124, 1031722, 3065997
333, 0, 750267, 1030877, 3065997
333, 0, 11134995, 1030877, 3065997
334, 0, 1073723, 1031005, 3065997
334, 1522553052, 46239318, 1031005, 3065997
335, 0, 1040948, 1031034, 3065997
336, 0, 770206, 1030258, 3065997
336, 0, 11140454, 1030258, 3065997
337, 0, 1079964, 1030405, 3065997
337, 1522553052, 86677153, 1030405, 3065997
338, 0, 1035261, 1030419, 3065997
339, 0, 752905, 1029601, 3065997
339, 0, 11152319, 1029601, 3065997
340, 0, 1091308, 1029782, 3065997
340, 1522553052, 127082854, 1029782, 3065997
341, 0, 1004314, 1029708, 3065997
342, 0, 745239, 1028877, 3065997
342, 0, 11094185, 1028877, 3065997
343, 0, 1058070, 1028962, 3065997
343, 1522553052, 167412670, 1028962, 3065997
344, 0, 996284, 1028868, 3065997
345, 0, 752469, 1028067, 3065997
345, 0, 11175269, 1028067, 3065997
346, 0, 1112591, 1028311, 3065997
346, 1522553052, 207809569, 1028311, 3065997
347, 0, 1074295, 1028443, 3065997
348, 0, 1213861, 1028975, 3065997
348, 0, 11156093, 1028975, 3065997
349, 0, 1095602, 1029165, 3065997
349, 1522553052, 248270165, 1029165, 3065997
350, 0, 1117930, 1029418, 3065997
351, 0, 1717544, 1031378, 3065997
351, 0, 11137100, 1031378, 3065997
352, 0, 1077860, 1031510, 3065997
352, 1522553052, 288685422, 1031510, 3065997
353, 0, 1076738, 1031638, 3065997
354, 0, 762853, 1030879, 3065997
354, 0, 11136347, 1030879, 3065997
355, 0, 1094710, 1031058, 3065997
355, 1522553052, 329156629, 1031058, 3065997
356, 0, 1004731, 1030985, 3065997
357, 0, 745065, 1030185, 3065997
357, 0, 11097778, 1030185, 3065997
358, 0, 1054995, 1030254, 3065997
358, 1522553052, 369528770, 1030254, 3065997
359, 0, 1129180, 1030529, 3065997
360, 0, 744880, 1029736, 3065997
360, 0, 11131759, 1029736, 3065997
361, 0, 1087779, 1029896, 3065997
361, 1522553052, 410038461, 1029896, 3065997
362, 0, 1015038, 1029855, 3065997
363, 0, 770581, 1029141, 3065997
363, 0, 11159283, 1029141, 3065997
364, 0, 1114157, 1029374, 3065997
364, 1522553052, 450513725, 1029374, 3065997
365, 0, 1032666, 1029383, 3065997
366, 0, 747220, 1028613, 3065997
366, 0, 11139515, 1028613, 3065997
367, 0, 1095327, 1028794, 3065997
367, 1522553052, 491153988, 1028794, 3065997
368, 0, 1452059, 1029944, 3065997
369, 0, 1174842, 1030336, 3065997
369, 0, 11275943, 1030336, 3065997
370, 0, 1323472, 1031128, 3065997
370, 1522553052, 531347589, 1031128, 3065997
371, 0, 982349, 1030997, 3065997
372, 0, 761642, 1030273, 3065997
372, 0, 11107636, 1030273, 3065997
373, 0, 1069072, 1030377, 3065997
373, 1522553052, 571696032, 1030377, 3065997
374, 0, 999613, 1030295, 3065997
375, 0, 747291, 1029541, 3065997
375, 0, 11100888, 1029541, 3065997
376, 0, 1064668, 1029634, 3065997
376, 1522553052, 612136245, 1029634, 3065997
377, 0, 993282, 1029538, 3065997
378, 0, 762001, 1028831, 3065997
378, 0, 11084037, 1028831, 3065997
379, 0, 1044640, 1028872, 3065997
379, 1522553052, 652480313, 1028872, 3065997
380, 0, 1118252, 1029107, 3065997
381, 0, 752286, 1028381, 3065997
381, 0, 11161769, 1028381, 3065997
382, 0, 1094976, 1028555, 3065997
382, 1522553052, 693068597, 1028555, 3065997
383, 0, 1045776, 1028599, 3065997
384, 0, 738351, 1027844, 3065997
384, 0, 11156480, 1027844, 3065997
385, 0, 1089427, 1028003, 3065997
385, 1522553052, 733432769, 1028003, 3065997
386, 0, 1032780, 1028015, 3065997
387, 0, 752697, 1027304, 3065997
387, 0, 11379626, 1027304, 3065997
388, 0, 1314396, 1028043, 3065997
388, 1522553052, 773984595, 1028043, 3065997
389, 0, 984835, 1027932, 3065997
390, 0, 736003, 1027184, 3065997
390, 0, 12497918, 1027184, 3065997
391, 0, 1073272, 1027301, 3065997
391, 1522553052, 815573544, 1027301, 3065997
392, 0, 1004698, 1027244, 3065997
393, 0, 734877, 1026501, 3065997
393, 0, 11068423, 1026501, 3065997
394, 0, 1003505, 1026443, 3065997
394, 1522553052, 856254171, 1026443, 3065997
395, 0, 982222, 1026332, 3065997
396, 0, 734223, 1025595, 3065997
396, 0, 11066572, 1025595, 3065997
397, 0, 1004153, 1025541, 3065997
397, 1522553052, 896402512, 1025541, 3065997
398, 0, 1095526, 1025716, 3065997
399, 0, 749038, 1025023, 3065997
399, 0, 11143834, 1025023, 3065997
400, 0, 1085739, 1025174, 3065997
400, 1522553052, 936904860, 1025174, 3065997
401, 0, 1030706, 1025187, 3065997
402, 0, 801613, 1024631, 3065997
402, 0, 11158805, 1024631, 3065997
403, 0, 1096283, 1024808, 3065997
403, 1522553052, 977304604, 1024808, 3065997
404, 0, 1083751, 1024953, 3065997
405, 0, 747002, 1024267, 3065997
405, 0, 11185183, 1024267, 3065997
406, 0, 1122660, 1024509, 3065997
406, 1522553053, 17715234, 1024509, 3065997
407, 0, 1141637, 1024796, 3065997
408, 0, 791192, 1024224, 3065997
408, 0, 11165154, 1024224, 3065997
409, 0, 1103102, 1024416, 3065997
409, 1522553053, 58103937, 1024416, 3065997
410, 0, 1057183, 1024495, 3065997
411, 0, 745695, 1023817, 3065997
411, 0, 11176324, 1023817, 3065997
412, 0, 1110469, 1024027, 3065997
412, 1522553053, 98547014, 1024027, 3065997
413, 0, 1044968, 1024077, 3065997
414, 0, 740563, 1023393, 3065997
414, 0, 11154785, 1023393, 3065997
415, 0, 1087680, 1023547, 3065997
415, 1522553053, 138939519, 1023547, 3065997
416, 0, 1041137, 1023589, 3065997
417, 0, 762514, 1022963, 3065997
417, 0, 11161736, 1022963, 3065997
418, 0, 1096193, 1023138, 3065997
418, 1522553053, 179352388, 1023138, 3065997
419, 0, 1036630, 1023170, 3065997
420, 0, 753787, 1022529, 3065997
420, 0, 11155614, 1022529, 3065997
421, 0, 1088144, 1022684, 3065997
421, 1522553053, 219850309, 1022684, 3065997
422, 0, 1044153, 1022734, 3065997
423, 0, 744175, 1022076, 3065997
423, 0, 11154439, 1022076, 3065997
424, 0, 1088949, 1022233, 3065997
424, 1522553053, 260208856, 1022233, 3065997
425, 0, 1018553, 1022225, 3065997
426, 0, 1016596, 1022212, 3065997
426, 0, 11075929, 1022212, 3065997
427, 0, 1006272, 1022175, 3065997
427, 1522553053, 300755220, 1022175, 3065997
428, 0, 980615, 1022078, 3065997
429, 0, 738087, 1021417, 3065997
429, 0, 11084605, 1021417, 3065997
430, 0, 1017916, 1021409, 3065997
430, 1522553053, 341190752, 1021409, 3065997
431, 0, 1015489, 1021396, 3065997
432, 0, 735825, 1020735, 3065997
