Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,,,
0,0,0,481739,0,0,,,,
0,0,0,465952,0,0,,,,
0,0,0,519477,0,0,,,,
0,0,0,418681,0,0,,,,
0,0,0,425384,0,0,,,,
0,0,0,417608,0,0,,,,
0,0,0,411863,0,0,,,,
0,0,0,425285,0,0,,,,
0,0,0,417769,0,0,,,,
0,0,0,419628,0,0,,,,
0,0,0,426748,0,0,,,,
0,0,0,430066,0,0,,,,
0,0,0,427290,0,0,,,,
0,0,0,418524,0,0,,,,
0,0,0,417883,0,0,,,,
0,0,0,412503,0,0,,,,
0,0,0,432070,0,0,,,,
0,0,0,462801,0,0,,,,
0,0,0,455337,0,0,,,,
0,0,0,464957,0,0,,,,
0,0,0,518997,0,0,,,,
0,0,0,483514,0,0,,,,
0,0,0,469019,0,0,,,,
0,0,0,455306,0,0,,,,
0,0,0,464822,0,0,,,,
0,0,0,468713,0,0,,,,
0,0,0,471353,0,0,,,,
0,0,0,462327,0,0,,,,
0,0,0,462156,0,0,,,,
0,0,0,470056,0,0,,,,
0,0,0,448582,0,0,,,,
0,0,0,456796,0,0,,,,
0,0,0,458134,0,0,,,,
0,0,0,466869,0,0,,,,
0,0,0,450343,0,0,,,,
0,0,0,456473,0,0,,,,
0,0,0,464947,0,0,,,,
0,0,0,469723,0,0,,,,
0,0,0,410333,0,0,,,,
0,0,0,419380,0,0,,,,
0,0,0,425874,0,0,,,,
0,0,0,409609,0,0,,,,
0,0,0,410271,0,0,,,,
0,0,0,414681,0,0,,,,
0,0,0,413468,0,0,,,,
0,0,0,415952,0,0,,,,
0,0,0,422550,0,0,,,,
0,0,0,436649,0,0,,,,
0,0,0,412780,0,0,,,,
0,0,0,416618,0,0,,,,
0,0,0,416446,0,0,,,,
0,0,0,420337,0,0,,,,
0,0,0,422926,0,0,,,,
0,0,0,427545,0,0,,,,
0,0,0,413727,0,0,,,,
0,0,0,431055,0,0,,,,
0,0,0,407446,0,0,,,,
0,0,0,423054,0,0,,,,
0,0,0,418438,0,0,,,,
0,0,0,462137,0,0,,,,
0,0,0,445324,0,0,,,,
0,0,0,414083,0,0,,,,
0,0,0,506175,0,0,,,,
0,0,0,478528,0,0,,,,
0,0,0,446975,0,0,,,,
0,0,0,454329,0,0,,,,
0,0,0,472723,0,0,,,,
0,0,0,439347,0,0,,,,
0,0,0,444461,0,0,,,,
0,0,0,446709,0,0,,,,
0,0,0,454375,0,0,,,,
0,0,0,455530,0,0,,,,
0,0,0,433456,0,0,,,,
0,0,0,439559,0,0,,,,
0,0,0,437485,0,0,,,,
0,0,0,432599,0,0,,,,
0,0,0,435837,0,0,,,,
0,0,0,455481,0,0,,,,
0,0,0,525334,0,0,,,,
0,0,0,461334,0,0,,,,
0,0,0,410979,0,0,,,,
0,0,0,424113,0,0,,,,
0,0,0,413498,0,0,,,,
0,0,0,425173,0,0,,,,
0,0,0,437578,0,0,,,,
0,0,0,461077,0,0,,,,
0,0,0,470722,0,0,,,,
0,0,0,466981,0,0,,,,
0,0,0,505590,0,0,,,,
0,0,0,482474,0,0,,,,
0,0,0,441858,0,0,,,,
0,0,0,468951,0,0,,,,
0,0,0,453856,0,0,,,,
0,0,0,451313,0,0,,,,
0,0,0,443458,0,0,,,,
0,0,0,472166,0,0,,,,
0,0,0,477488,0,0,,,,
0,0,0,448278,0,0,,,,
0,0,0,443287,0,0,,,,
0,0,0,459287,0,0,,,,
0,0,0,445806,0,0,,,,
0,0,0,437899,0,0,,,,
0,0,0,440460,0,0,,,,
0,0,0,451876,0,0,,,,
0,0,0,543916,0,0,,,,
0,0,0,461478,0,0,,,,
0,0,0,424248,0,0,,,,
0,0,0,416497,0,0,,,,
0,0,0,416610,0,0,,,,
0,0,0,426515,0,0,,,,
0,0,0,430899,0,0,,,,
0,0,0,415648,0,0,,,,
0,0,0,409199,0,0,,,,
0,0,0,411396,0,0,,,,
0,0,0,414947,0,0,,,,
0,0,0,408550,0,0,,,,
0,0,0,418664,0,0,,,,
0,0,0,434506,0,0,,,,
0,0,0,412171,0,0,,,,
0,0,0,411451,0,0,,,,
0,0,0,406201,0,0,,,,
0,0,0,427877,0,0,,,,
0,0,0,414709,0,0,,,,
0,0,0,425604,0,0,,,,
0,0,0,414050,0,0,,,,
0,0,0,420674,0,0,,,,
0,0,0,428079,0,0,,,,
0,0,0,429442,0,0,,,,
0,0,0,412994,0,0,,,,
0,0,0,416701,0,0,,,,
0,0,0,420668,0,0,,,,
0,0,0,410782,0,0,,,,
0,0,0,423187,0,0,,,,
0,0,0,430748,0,0,,,,
0,0,0,414404,0,0,,,,
0,0,0,407173,0,0,,,,
0,0,0,410620,0,0,,,,
0,0,0,413702,0,0,,,,
0,0,0,417670,0,0,,,,
0,0,0,429554,0,0,,,,
0,0,0,408781,0,0,,,,
0,0,0,412801,0,0,,,,
0,0,0,416248,0,0,,,,
0,0,0,411883,0,0,,,,
0,0,0,418923,0,0,,,,
0,0,0,439244,0,0,,,,
0,0,0,446702,0,0,,,,
0,0,0,416711,0,0,,,,
0,0,0,408596,0,0,,,,
0,0,0,410116,0,0,,,,
0,0,0,424551,0,0,,,,
0,0,0,420655,0,0,,,,
0,0,0,408737,0,0,,,,
0,0,0,414007,0,0,,,,
0,0,0,409068,0,0,,,,
0,0,0,416265,0,0,,,,
0,0,0,450121,0,0,,,,
0,0,0,454013,0,0,,,,
0,0,0,449993,0,0,,,,
0,0,0,456599,0,0,,,,
0,0,0,567996,0,0,,,,
0,0,0,478196,0,0,,,,
0,0,0,461000,0,0,,,,
